date,position,zscore,spread,beta,equity_net
2025-12-11,0,,0.0,,10000.0
2025-12-12,0,,0.0,,10000.0
2025-12-13,0,,0.0,,10000.0
2025-12-14,0,,0.0,,10000.0
2025-12-15,0,,0.0,,10000.0
2025-12-16,0,,0.0,,10000.0
2025-12-17,0,,0.0,,10000.0
2025-12-18,0,,0.0,,10000.0
2025-12-19,0,,0.0,,10000.0
2025-12-20,0,,0.0,,10000.0
2025-12-21,0,,0.0,,10000.0
2025-12-22,0,,0.0,,10000.0
2025-12-23,0,,0.0,,10000.0
2025-12-24,0,,0.0,,10000.0
2025-12-25,0,,0.0,,10000.0
2025-12-26,0,,0.0,,10000.0
2025-12-27,0,,0.0,,10000.0
2025-12-28,0,,0.0,,10000.0
2025-12-29,0,,0.0,,10000.0
2025-12-30,0,,0.0,,10000.0
2025-12-31,0,0.0,0.0,,10000.0
2026-01-01,0,0.0,0.0,,10000.0
2026-01-02,0,0.0,0.0,,10000.0
2026-01-03,0,0.0,0.0,,10000.0
2026-01-04,0,0.0,0.0,,10000.0
2026-01-05,0,0.0,0.0,,10000.0
2026-01-06,0,0.0,0.0,,10000.0
2026-01-07,0,0.0,0.0,,10000.0
2026-01-08,0,0.0,0.0,,10000.0
2026-01-09,0,0.0,0.0,,10000.0
2026-01-10,0,0.0,0.00354178,0.118937,10000.0
2026-01-11,0,-0.256686,-2.62e-05,0.130391,10000.0
2026-01-12,0,3.915092,0.00327769,0.117588,10000.0
2026-01-13,-1,7.042732,0.00774039,0.105737,9950.872996
2026-01-14,-1,1.40122,0.00346648,0.088477,9993.402121
2026-01-15,-1,-1.005606,-0.00115075,0.132595,10039.543963
2026-01-16,-1,-6.316158,-0.01230678,0.131104,10151.545443
2026-01-17,1,-4.159601,-0.01476954,0.123843,10117.408242
2026-01-18,1,-3.050681,-0.01553681,0.169409,10109.64552
2026-01-19,1,-2.872204,-0.01839932,0.111385,10080.706499
2026-01-20,1,-5.632339,-0.04200434,0.117578,9842.751229
2026-01-21,1,-3.321361,-0.04194078,0.446353,9843.376849
2026-01-22,1,-3.018766,-0.04880904,0.490682,9775.769923
2026-01-23,1,-2.803716,-0.05605461,0.419377,9704.938925
2026-01-24,1,-2.265788,-0.05630397,0.382418,9702.518898
2026-01-25,1,-2.016694,-0.05855038,0.381369,9680.723083
2026-01-26,1,-0.31439,-0.02483219,0.38163,10007.139507
2026-01-27,0,-0.211755,-0.02357881,0.674849,10002.636294
2026-01-28,0,-0.517647,-0.03169615,0.685844,10002.636294
2026-01-29,0,0.256829,-0.01558975,0.720249,10002.636294
2026-01-30,0,0.421617,-0.0128599,0.725563,10002.636294
2026-01-31,0,0.466035,-0.01303024,0.723198,10002.636294
2026-02-01,0,0.434342,-0.01459465,0.717133,10002.636294
2026-02-02,0,2.203773,0.01951527,0.74653,10002.636294
2026-02-03,-1,3.098999,0.04153792,0.901652,9777.850606
2026-02-04,-1,3.73635,0.07165398,0.734543,9483.380263
2026-02-05,-1,3.625244,0.09929299,0.568075,9221.269034
2026-02-06,-1,2.570216,0.09464603,0.324095,9264.119867
2026-02-07,-1,2.149733,0.09629325,0.288083,9248.859858
2026-02-08,-1,1.832684,0.09613714,0.288706,9250.30363
2026-02-09,-1,1.292581,0.07831705,0.294342,9415.144872
2026-02-10,-1,1.249729,0.083391,0.265643,9367.372945
2026-02-11,-1,1.226825,0.08935355,0.265756,9311.519503
2026-02-12,-1,0.382062,0.04594704,0.263621,9715.700113
2026-02-13,0,-0.044121,0.02574518,0.418631,9711.328048
2026-02-14,0,-0.1206,0.02593284,0.450915,9711.328048
2026-02-15,0,-0.228533,0.02542041,0.454164,9711.328048
2026-02-16,0,-0.254371,0.02719994,0.454062,9711.328048
2026-02-17,0,0.409165,0.05983493,0.453826,9711.328048
2026-02-18,0,0.190816,0.05405592,0.477216,9711.328048
2026-02-19,0,-0.137217,0.04440821,0.467428,9711.328048
2026-02-20,0,-0.052454,0.05068485,0.401985,9711.328048
2026-02-21,0,-0.145989,0.05105013,0.416731,9711.328048
2026-02-22,0,-0.342559,0.04957179,0.441712,9711.328048
2026-02-23,0,0.29423,0.06820222,0.461827,9711.328048
2026-02-24,0,0.714403,0.08025624,0.43449,9711.328048
2026-02-25,0,0.853045,0.08446428,0.442844,9711.328048
2026-02-26,0,0.744328,0.08021494,0.354732,9711.328048
2026-02-27,0,-0.239805,0.05500294,0.370632,9711.328048
2026-02-28,0,-0.09249,0.05664976,0.424715,9711.328048
2026-03-01,0,0.006019,0.05691185,0.427109,9711.328048
2026-03-02,0,0.072829,0.05720268,0.428858,9711.328048
2026-03-03,0,0.046396,0.05530431,0.418344,9711.328048
2026-03-04,0,-0.375257,0.04611698,0.422223,9711.328048
2026-03-05,0,-0.945119,0.03612719,0.32983,9711.328048
2026-03-06,0,-1.278964,0.03168363,0.359327,9711.328048
2026-03-07,0,-1.379135,0.03090044,0.4348,9711.328048
2026-03-08,0,-1.669953,0.02716433,0.671322,9711.328048
2026-03-09,0,-1.591584,0.02840718,0.841395,9711.328048
2026-03-10,0,-1.411807,0.0284377,0.857003,9711.328048
2026-03-11,0,-1.347122,0.02715838,0.860782,9711.328048
2026-03-12,0,-1.582138,0.02097391,0.903041,9711.328048
2026-03-13,0,-1.673842,0.01593652,0.916157,9711.328048
2026-03-14,0,-1.478731,0.01605961,0.942797,9711.328048
2026-03-15,0,-1.088149,0.02132806,0.785863,9711.328048
2026-03-16,0,-1.181574,0.01704212,0.739591,9711.328048
2026-03-17,0,-1.033208,0.0183181,0.72145,9711.328048
2026-03-18,0,-1.313979,0.01236169,0.723608,9711.328048
2026-03-19,0,-0.930863,0.01823359,0.741659,9711.328048
2026-03-20,0,-0.196386,0.0281224,0.701673,9711.328048
2026-03-21,0,-0.253311,0.02613989,0.674277,9711.328048
2026-03-22,0,-0.165893,0.02608205,0.677812,9711.328048
2026-03-23,0,0.513759,0.03195346,0.666536,9711.328048
2026-03-24,0,1.92115,0.04097357,0.691254,9711.328048
2026-03-25,0,1.896623,0.03931293,0.682853,9711.328048
2026-03-26,0,5.593296,0.06857748,0.737882,9711.328048
2026-03-27,-1,2.545489,0.05861072,0.561847,9803.748409
2026-03-28,-1,2.134001,0.05887318,0.605748,9801.17536
2026-03-29,-1,1.645319,0.05602413,0.60825,9829.099374
